track_uri,artist_uri
spotify:track:6YwLgicpvVuMt1eE2OldwQ,spotify:artist:6VD4UEUPvtsemqD3mmTqCR
spotify:track:6YwLgicpvVuMt1eE2OldwQ,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
spotify:track:3pzjHKrQSvXGHQ98dx18HI,spotify:artist:1uNFoZAHBGtllmzznpCI3s
spotify:track:38nm9c5ATEoZLqbjn72Rew,spotify:artist:6zGCrS2y63IEUJfyn9Bpuc
spotify:track:38nm9c5ATEoZLqbjn72Rew,spotify:artist:1kjkddXmDG9vdt7P8lwYUd
spotify:track:326x8b9Is2rKeKcFFV1hWW,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
spotify:track:326x8b9Is2rKeKcFFV1hWW,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
spotify:track:326x8b9Is2rKeKcFFV1hWW,spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2
spotify:track:0HMDVVxFqYwmbSON1KEG0h,spotify:artist:4AGwPDdh1y8hochNzHy5HC
spotify:track:0HMDVVxFqYwmbSON1KEG0h,spotify:artist:1mU61l2mcjEFraXZLpvVMo
spotify:track:1D3ODoXHBLpdxolZRHWV1j,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
spotify:track:1D3ODoXHBLpdxolZRHWV1j,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2
spotify:track:7GzJmCoD9tMqinOGSkWUfE,spotify:artist:1ououJVWgWsHWMYDLvT7sH
spotify:track:5ZF6BpIQZ08CybU5vnwSFq,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
spotify:track:2kKY5ihIOPRgS0QhhGNLcs,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:track:5tf1VVWniHgryyumXyJM7w,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
spotify:track:5tf1VVWniHgryyumXyJM7w,spotify:artist:5X1JzPIIonP3u9lA580pPT
spotify:track:2gkyOTZQJ7mWf32KK0zEXc,spotify:artist:6l5dAUNRhHnRSPPmRJSKQr
spotify:track:2gkyOTZQJ7mWf32KK0zEXc,spotify:artist:2Q0MyH5YMI5HPQjFjlq5g3
spotify:track:2eFxaSHpZcJiwKlUpHqtLp,spotify:artist:3836OTICMPjhTMMcpPw4EC
spotify:track:2eFxaSHpZcJiwKlUpHqtLp,spotify:artist:0ONN78qj6zuTEsmal4ZJKG
spotify:track:2iKDPbYHVCzE91K5IRqUyM,spotify:artist:738wLrAtLtCtFOLvQBXOXp
spotify:track:2iKDPbYHVCzE91K5IRqUyM,spotify:artist:0bdfiayQAKewqEvaU6rXCv
spotify:track:2iKDPbYHVCzE91K5IRqUyM,spotify:artist:540vIaP2JwjQb9dm3aArA4
spotify:track:1cQI0LW8YmB8oi45TZlqPi,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM
spotify:track:1XijxhOHe8bkWceHkBAT3J,spotify:artist:0dEvJpkqhrcn64d3oI8v79
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,spotify:artist:1uNFoZAHBGtllmzznpCI3s
spotify:track:42MhtniCyRkj5bsO6HP1lp,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
spotify:track:42MhtniCyRkj5bsO6HP1lp,spotify:artist:1mU61l2mcjEFraXZLpvVMo
spotify:track:7oxzjDG20H4jU9WXay29uf,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
spotify:track:7oxzjDG20H4jU9WXay29uf,spotify:artist:1bqxdqvUtPWZri43cKHac8
spotify:track:1RCGPO1VxDh1Z67ydE7l2T,spotify:artist:5PzC9pOeviQlNF6iGlUF5C
spotify:track:1RCGPO1VxDh1Z67ydE7l2T,spotify:artist:5VsOThWOagH8C8gCvIy13k
spotify:track:5Iomdh80a3bsxouxHzc1f4,spotify:artist:11jOZfVtketvHlyEXCkCWC
spotify:track:12HB8AmFTovKrFcGG36KbL,spotify:artist:1moxjboGR7GNWYIMWsRjgG
spotify:track:0IzxmWc2QaMcm7AzHNinaU,spotify:artist:2qKm6UtxKTF2zh9RNK5QOc
