artist_uri,genre
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,tropical house
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,uk dance
spotify:artist:5awr081A7WGq4ZdmNNTQKD,""
spotify:artist:2wsXaFHhSBcPMFkqBf0ofr,australian hip hop
spotify:artist:2wsXaFHhSBcPMFkqBf0ofr,australian indigenous hip hop
spotify:artist:2wsXaFHhSBcPMFkqBf0ofr,australian underground hip hop
spotify:artist:1QJ4iU6xJtdrk6HSPUTQ98,pop edm
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,dance pop
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,r&b
spotify:artist:03MVmfitJTVJIxYmObhQn9,dutch edm
spotify:artist:03MVmfitJTVJIxYmObhQn9,edm
spotify:artist:03MVmfitJTVJIxYmObhQn9,electro house
spotify:artist:03MVmfitJTVJIxYmObhQn9,pop dance
spotify:artist:03MVmfitJTVJIxYmObhQn9,progressive electro house
spotify:artist:03MVmfitJTVJIxYmObhQn9,progressive house
spotify:artist:3pJlam8yODJN1AEzmTVGko,traprun
spotify:artist:0AJUYWKztkg5dnrHDIBv47,""
spotify:artist:2QlwnS23KrBeshXFyK5U6M,deep tropical house
spotify:artist:2QlwnS23KrBeshXFyK5U6M,electro house
spotify:artist:2QlwnS23KrBeshXFyK5U6M,pop dance
spotify:artist:2QlwnS23KrBeshXFyK5U6M,pop edm
spotify:artist:2QlwnS23KrBeshXFyK5U6M,tropical house
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,australian rock
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,mellow gold
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,permanent wave
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,pop rock
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,rock
spotify:artist:7ohlPA8dRBtCf92zaZCaaB,soft rock
spotify:artist:2O2dI9lY9PnWtAa4OlrgMi,underground hip hop
spotify:artist:0U73YuFQknGYuwpQjqobP3,deep pop edm
