id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
30gUUK7Vwn9W5sWViA80bb,0.661,0.614,0.0,-10.305,1.0,0.0386,0.433,8.71e-06,0.105,0.762,113.904,audio_features,spotify:track:30gUUK7Vwn9W5sWViA80bb,https://api.spotify.com/v1/tracks/30gUUK7Vwn9W5sWViA80bb,https://api.spotify.com/v1/audio-analysis/30gUUK7Vwn9W5sWViA80bb,170120.0,4.0
2wiBgJOpUqE7qpJkPddNAV,0.733,0.564,8.0,-9.435,1.0,0.0724,0.396,1.3e-05,0.0734,0.427,80.023,audio_features,spotify:track:2wiBgJOpUqE7qpJkPddNAV,https://api.spotify.com/v1/tracks/2wiBgJOpUqE7qpJkPddNAV,https://api.spotify.com/v1/audio-analysis/2wiBgJOpUqE7qpJkPddNAV,293512.0,4.0
68NsOuum1AegLDhOIr2ADL,0.798,0.318,10.0,-6.849,0.0,0.0431,0.0437,0.0,0.158,0.425,92.49,audio_features,spotify:track:68NsOuum1AegLDhOIr2ADL,https://api.spotify.com/v1/tracks/68NsOuum1AegLDhOIr2ADL,https://api.spotify.com/v1/audio-analysis/68NsOuum1AegLDhOIr2ADL,229000.0,4.0
65ACnVMmePTp8Xdk11jP2y,0.792,0.428,4.0,-6.931,1.0,0.0671,0.198,0.0,0.15,0.499,112.067,audio_features,spotify:track:65ACnVMmePTp8Xdk11jP2y,https://api.spotify.com/v1/tracks/65ACnVMmePTp8Xdk11jP2y,https://api.spotify.com/v1/audio-analysis/65ACnVMmePTp8Xdk11jP2y,199053.0,4.0
2GsZYeL8grRgWahecjjTD4,0.616,0.849,11.0,-6.496,1.0,0.0493,0.0388,0.0,0.0941,0.627,99.972,audio_features,spotify:track:2GsZYeL8grRgWahecjjTD4,https://api.spotify.com/v1/tracks/2GsZYeL8grRgWahecjjTD4,https://api.spotify.com/v1/audio-analysis/2GsZYeL8grRgWahecjjTD4,199107.0,4.0
7dAYgR9pI8F0YruyQ9riNc,0.804,0.64,8.0,-5.226,1.0,0.0505,0.00266,0.674,0.0515,0.638,117.997,audio_features,spotify:track:7dAYgR9pI8F0YruyQ9riNc,https://api.spotify.com/v1/tracks/7dAYgR9pI8F0YruyQ9riNc,https://api.spotify.com/v1/audio-analysis/7dAYgR9pI8F0YruyQ9riNc,236267.0,4.0
3w5AfaqKxfejmuZ8gBz9WG,0.594,0.82,9.0,-7.084,0.0,0.0374,0.0531,0.00684,0.0756,0.238,121.967,audio_features,spotify:track:3w5AfaqKxfejmuZ8gBz9WG,https://api.spotify.com/v1/tracks/3w5AfaqKxfejmuZ8gBz9WG,https://api.spotify.com/v1/audio-analysis/3w5AfaqKxfejmuZ8gBz9WG,171148.0,4.0
7ewJnOo2axdRsQhEwR9i9x,0.735,0.378,9.0,-6.842,1.0,0.0488,0.209,0.0,0.0737,0.726,95.069,audio_features,spotify:track:7ewJnOo2axdRsQhEwR9i9x,https://api.spotify.com/v1/tracks/7ewJnOo2axdRsQhEwR9i9x,https://api.spotify.com/v1/audio-analysis/7ewJnOo2axdRsQhEwR9i9x,187333.0,4.0
5KtlHyEw7BMr1uSw2eG28p,0.749,0.751,10.0,-3.831,1.0,0.0348,0.0198,0.0,0.0341,0.387,114.026,audio_features,spotify:track:5KtlHyEw7BMr1uSw2eG28p,https://api.spotify.com/v1/tracks/5KtlHyEw7BMr1uSw2eG28p,https://api.spotify.com/v1/audio-analysis/5KtlHyEw7BMr1uSw2eG28p,189560.0,4.0
5yjOhc3JKrznGouRHMagoJ,0.838,0.724,0.0,-3.025,1.0,0.0754,0.0934,1.73e-06,0.0522,0.385,112.992,audio_features,spotify:track:5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/tracks/5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/audio-analysis/5yjOhc3JKrznGouRHMagoJ,175333.0,4.0
1OyNvh80caHfio6xbogozh,0.718,0.905,9.0,-3.892,0.0,0.143,0.109,4.81e-06,0.173,0.377,121.958,audio_features,spotify:track:1OyNvh80caHfio6xbogozh,https://api.spotify.com/v1/tracks/1OyNvh80caHfio6xbogozh,https://api.spotify.com/v1/audio-analysis/1OyNvh80caHfio6xbogozh,200779.0,4.0
35ZhlYxEjD8zvjWTbKcWSw,0.563,0.812,7.0,-4.137,1.0,0.0303,0.0126,0.0,0.168,0.303,123.081,audio_features,spotify:track:35ZhlYxEjD8zvjWTbKcWSw,https://api.spotify.com/v1/tracks/35ZhlYxEjD8zvjWTbKcWSw,https://api.spotify.com/v1/audio-analysis/35ZhlYxEjD8zvjWTbKcWSw,182347.0,4.0
6uFsE1JgZ20EXyU0JQZbUR,0.773,0.68,9.0,-6.378,0.0,0.141,0.213,1.57e-05,0.122,0.497,128.062,audio_features,spotify:track:6uFsE1JgZ20EXyU0JQZbUR,https://api.spotify.com/v1/tracks/6uFsE1JgZ20EXyU0JQZbUR,https://api.spotify.com/v1/audio-analysis/6uFsE1JgZ20EXyU0JQZbUR,211859.0,4.0
0HALmefOSzjo2Uwf6G670G,0.501,0.809,0.0,-6.501,0.0,0.641,0.0434,0.0,0.0819,0.678,73.792,audio_features,spotify:track:0HALmefOSzjo2Uwf6G670G,https://api.spotify.com/v1/tracks/0HALmefOSzjo2Uwf6G670G,https://api.spotify.com/v1/audio-analysis/0HALmefOSzjo2Uwf6G670G,195373.0,4.0
0ggzakC1aHUgXHqeD5g7kW,0.572,0.572,4.0,-6.997,0.0,0.025,0.0446,0.0582,0.122,0.285,104.974,audio_features,spotify:track:0ggzakC1aHUgXHqeD5g7kW,https://api.spotify.com/v1/tracks/0ggzakC1aHUgXHqeD5g7kW,https://api.spotify.com/v1/audio-analysis/0ggzakC1aHUgXHqeD5g7kW,218000.0,4.0
4V9pOS5miVOLE3YRAaoOiC,0.664,0.664,11.0,-5.606,0.0,0.0623,0.0829,2.86e-06,0.293,0.449,111.866,audio_features,spotify:track:4V9pOS5miVOLE3YRAaoOiC,https://api.spotify.com/v1/tracks/4V9pOS5miVOLE3YRAaoOiC,https://api.spotify.com/v1/audio-analysis/4V9pOS5miVOLE3YRAaoOiC,204827.0,4.0
