id,genres,name,popularity,type,uri,total_followers
2sIx6SmAMw9IBySG3Uj0jf,british soul;funk;post-disco;quiet storm;urban contemporary,Soul II Soul,52,artist,spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,249539
5G9jPTXdfaEAHy7HfyVs59,"",Trixxie,24,artist,spotify:artist:5G9jPTXdfaEAHy7HfyVs59,2227
3rwgQ1VIPNAFyvxWqnQTXD,"",Them&Us,5,artist,spotify:artist:3rwgQ1VIPNAFyvxWqnQTXD,242
4KqKrtbthkLIucOXM3fGdV,british soul,Amber-Simone,42,artist,spotify:artist:4KqKrtbthkLIucOXM3fGdV,9612
34v5MVKeQnIo0CWYMbbrPf,dance pop,John Newman,68,artist,spotify:artist:34v5MVKeQnIo0CWYMbbrPf,687316
4lDXfIznmGueBgTjI3qGUX,new french touch;nice indie;tropical house,Møme,53,artist,spotify:artist:4lDXfIznmGueBgTjI3qGUX,212174
6kx1NiHogZzkSU7lHMc3Ow,electro house;future bass;gaming edm;melodic dubstep;pop edm,Subtact,41,artist,spotify:artist:6kx1NiHogZzkSU7lHMc3Ow,33849
7wPLh7i6LaybvHu7kll7cc,"",Jenny Halberg,0,artist,spotify:artist:7wPLh7i6LaybvHu7kll7cc,3
7rkW85dBwwrJtlHRDkJDAC,canadian hip hop;canadian trap;hip hop;melodic rap;rap;toronto rap;trap,NAV,76,artist,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,3163473
5Il27M5JXuQLgwDgVrQMgo,disco house;shibuya-kei,Dimitri From Paris,48,artist,spotify:artist:5Il27M5JXuQLgwDgVrQMgo,53763
1zTAQ6zkGz2L2i6lfR30EX,alternative dance;australian dance;australian indie;dance-punk;electronica;electropop;indietronica;new rave,The Presets,50,artist,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,176048
7MfqTaqzU4P7AqqnFj3rYk,"",Nicholas Petricca,37,artist,spotify:artist:7MfqTaqzU4P7AqqnFj3rYk,646
5Ihz4MjauQk3NL6GOtovzp,"",Dan Andrews,29,artist,spotify:artist:5Ihz4MjauQk3NL6GOtovzp,719
3rWZHrfrsPBxVy692yAIxF,afrofuturism;pop;post-teen pop,WILLOW,75,artist,spotify:artist:3rWZHrfrsPBxVy692yAIxF,2261804
4ODS0GBxi2DacWuCllLzEI,"",Shaun Colwill,20,artist,spotify:artist:4ODS0GBxi2DacWuCllLzEI,124
16Mje1BDQmN1DWp4a94YOC,australian dance,Zoë Badwi,28,artist,spotify:artist:16Mje1BDQmN1DWp4a94YOC,4428
6ctRYaAwUc6NlbyBkT50uQ,swedish tropical house,Fenris,36,artist,spotify:artist:6ctRYaAwUc6NlbyBkT50uQ,3637
2NFmPmtpR2nC6R4E6MxQhA,lithuanian edm,Martin Lu,11,artist,spotify:artist:2NFmPmtpR2nC6R4E6MxQhA,1107
